DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S740mag,S920mag,Spanmag
4458990005388621952,   9.0586,   8.7117,   8.6333,   8.9737,   9.6992,   9.0578,   8.7162,   8.6237,   8.7803
1208515290704236032,   8.4955,   6.6323,   6.3298,   7.4097,  10.7701,   8.5423,   6.5884,   6.2968,   7.0420
71049724129117568,   8.3141,   7.7080,   7.5868,   8.1103,   9.6262,   8.3186,   7.7147,   7.5847,   7.8103
300268314784686464,   8.7492,   8.5729,   8.6100,   8.7529,   9.3230,   8.7496,   8.5760,   8.6211,   8.5926
1284721994948665216,   8.4474,   7.5580,   7.3965,   8.0864,  10.2927,   8.4515,   7.5629,   7.3614,   7.7305
1275876252107941888,   9.1132,   8.3523,   8.1875,   8.8288,  10.6739,   9.1104,   8.3607,   8.1686,   8.4983
731253779217024640,  10.3069,  10.1377,  10.1814,  10.3092,  10.7811,  10.3124,  10.1386,  10.2131,  10.1656
955962241512224384,   9.0037,   8.7844,   8.7740,   8.9835,   9.5674,   9.0034,   8.7877,   8.7857,   8.8208
2065901676227318272,  10.2662,  10.0101,  10.0105,  10.2348,  10.9275,  10.2736,  10.0146,  10.0269,  10.0485
2075007556661946880,  10.2876,  10.1955,  10.2382,  10.3172,  10.6990,  10.2871,  10.1957,  10.2704,  10.2018
778947814402602752,   8.6359,   7.2494,   6.9030,   7.9377,  10.8392,   8.6388,   7.2356,   6.8182,   7.6197
491805851686912000,  10.1190,   9.9068,   9.9019,  10.1111,  10.7503,  10.1243,   9.9091,   9.9115,   9.9434
558748070956581248,   9.9012,   9.7531,   9.7974,   9.8976,  10.2496,   9.9015,   9.7547,   9.8214,   9.7761
4258375617747092864,   8.7932,   7.9100,   7.7409,   8.4406,  10.6335,   8.7948,   7.9150,   7.7045,   8.0907
2658240166703766016,  10.2193,  10.0633,  10.1032,  10.2170,  10.6209,  10.2210,  10.0637,  10.1310,  10.0824
1011379899590855936,  12.1326,  11.9849,  12.1594,  12.1597,  12.5616,  12.1614,  11.9839,  12.2205,  12.0091
3920615854833203328,  10.1639,  10.0049,  10.0466,  10.1641,  10.6068,  10.1644,  10.0060,  10.0654,  10.0256
3699954179060804864,   9.6122,   9.4448,   9.4822,   9.6028,   9.9965,   9.6120,   9.4488,   9.4983,   9.4738
4565784161044390656,  11.3134,  11.1522,  11.2189,  11.3295,  11.8336,  11.3319,  11.1524,  11.2464,  11.1778
2722849325377392384,  10.3439,  10.1787,  10.2217,  10.3414,  10.7616,  10.3513,  10.1778,  10.2506,  10.2046
1848170611255790848,  10.5699,  10.4135,  10.4637,  10.5785,  11.0688,  10.5690,  10.4174,  10.4963,  10.4337
1800518563283501440,  10.0618,   9.9074,   9.9447,  10.0635,  10.4872,  10.0675,   9.9090,   9.9748,   9.9300
1946297900868982016,  11.2792,  11.0670,  11.1002,  11.2789,  11.9437,  11.2760,  11.0731,  11.1188,  11.1033
1001659495247619584,  10.3534,  10.2643,  10.3421,  10.3820,  10.7210,  10.3536,  10.2660,  10.3768,  10.2726
1032197606073957888,   9.8303,   9.7758,   9.8392,   9.8750,  10.2020,   9.8333,   9.7798,   9.8652,   9.7780
4165370682239910144,  10.6037,  10.2943,  10.2656,  10.5417,  11.1840,  10.6128,  10.2982,  10.2802,  10.3524
2203746967971153024,  10.4741,  10.2364,  10.2567,  10.4504,  11.0886,  10.4745,  10.2408,  10.2784,  10.2723
523313040665475968,  11.4725,  10.9758,  10.8584,  11.3338,  12.5336,  11.4891,  10.9826,  10.8300,  11.0790
2249054333150693504,  11.1659,  10.7223,  10.6560,  11.0633,  12.3415,  11.1722,  10.7305,  10.6614,  10.8018
3939515154043771392,  12.2237,  12.1227,  12.3146,  12.2704,  12.6424,  12.2243,  12.1260,  12.3766,  12.1331
3362648956829186816,  10.6665,  10.4920,  10.5450,  10.6597,  11.0596,  10.6754,  10.4928,  10.5781,  10.5245
2195886971653527168,   8.4806,   7.0896,   6.7923,   7.7846,  10.5333,   8.4792,   7.0731,   6.7117,   7.4525
2828928008202069376,   8.5704,   7.0971,   6.7701,   7.8195,  10.6703,   8.5725,   7.0674,   6.6833,   7.5026
2340329539312677888,   5.9066,   6.1477,   6.2688,   6.0094,   5.8602,   5.9062,   6.1455,   6.2754,   6.0824
2337055983958595840,   6.7763,   6.1748,   6.0322,   6.5960,   8.2502,   6.7755,   6.1828,   6.0296,   6.2971
2430102808294101760,   6.4085,   6.1647,   6.1526,   6.3872,   7.1540,   6.4106,   6.1694,   6.1597,   6.2004
2317057722875195904,  14.2824,  15.4998,  13.4483,  15.0734,  14.9008,  13.9282,  15.0574,  14.4517,  15.6379
421805237748755968,   7.7467,   7.3209,   7.2302,   7.6330,   8.5877,   7.7457,   7.3243,   7.2298,   7.4019
2527043140743265664,  10.3847,  10.6748,  10.7992,  10.5031,  10.3183,  10.3839,  10.6742,  10.8186,  10.5950
418062809410500224,   6.8166,   6.0977,   5.9145,   6.5630,   8.5165,   6.8175,   6.1067,   5.9006,   6.2407
2473608009504466688,   5.1432,   5.0047,   5.0469,   5.1535,   5.6194,   5.1429,   5.0048,   5.0661,   5.0180
2788908774248323072,   8.7233,   8.3570,   8.3277,   8.6448,   9.5806,   8.7254,   8.3610,   8.3296,   8.4149
575775829575361664,   8.7195,   8.3584,   8.2966,   8.6402,   9.5528,   8.7201,   8.3628,   8.2911,   8.4249
2537228466706526208,   7.5802,   6.9781,   6.8127,   7.3900,   9.0754,   7.5807,   6.9884,   6.8374,   7.0955
377025290240929792,   6.8174,   6.3549,   6.2640,   6.6950,   7.8674,   6.8185,   6.3607,   6.2684,   6.4438
