DR3source_id,H550mag,H750mag,H880mag,Hpanmag,S420mag,S550mag,S740mag,S920mag,Spanmag
266077145295627520,  11.7881,  12.4190,  12.7473,  11.8850,  11.2748,  11.7906,  12.4093,  12.8095,  12.2420
3348071631670500736,  13.0306,  13.6431,  13.9535,  13.1523,  12.5931,  13.0333,  13.6321,  14.0285,  13.4770
3944400490365194368,  13.3551,  13.9770,  14.2884,  13.4650,  12.8826,  13.3577,  13.9682,  14.3588,  13.8051
3251244858154433536,  14.0538,  14.6720,  15.0220,  14.1742,  13.6044,  14.0560,  14.6644,  15.0694,  14.5108
3304090857318319232,  13.8640,  14.4137,  14.7020,  14.0203,  13.5741,  13.8657,  14.4042,  14.7598,  14.2764
5639391810273308416,  11.8306,  12.0136,  12.1202,  11.9382,  11.9112,  11.8312,  12.0058,  12.1920,  11.9680
781164326766404736,  11.1773,  11.7687,  12.0418,  11.2610,  10.6587,  11.1806,  11.7587,  12.1119,  11.6128
5332606522595645952,  11.4648,  11.5454,  11.6527,  11.5281,  11.5798,  11.4707,  11.5429,  11.7047,  11.5119
3959631234670040704,  10.5151,  11.1249,  11.4324,  10.6128,  10.0116,  10.5179,  11.1167,  11.5025,  10.9556
1686708050268594944,  12.7466,  13.2982,  13.5569,  12.9018,  12.4556,  12.7481,  13.2895,  13.6334,  13.1601
6749419923164242816,  12.2054,  12.7036,  12.9594,  12.3863,  12.0612,  12.2062,  12.6909,  13.0335,  12.5869
2693940725141960192,  12.7370,  13.2583,  13.5287,  12.9067,  12.5147,  12.7388,  13.2475,  13.6018,  13.1333
2398029465700538880,  12.0277,  11.7191,  11.6542,  11.9636,  12.6519,  12.0266,  11.7205,  11.6612,  11.7850
2405805697263561600,  14.0805,  14.3727,  14.5509,  14.1832,  13.9801,  14.0828,  14.3680,  14.6200,  14.2899
2633603478379307904,  11.8383,  12.4571,  12.7635,  11.9330,  11.3361,  11.8422,  12.4472,  12.8302,  12.2814
3126052883671520896,  10.4343,  10.5779,  10.6482,  10.5210,  10.4994,  10.4336,  10.5723,  10.6589,  10.5352
3935488605023787392,  11.8221,  12.4697,  12.7616,  11.9160,  11.3005,  11.8263,  12.4608,  12.7908,  12.2826
3657546118655166080,  10.2404,  10.7430,  10.9954,  10.3457,   9.8729,  10.2417,  10.7337,  11.0478,  10.6019
4416639085227405952,   9.0044,   8.9526,   8.9836,   9.0385,   9.3069,   9.0029,   8.9505,   8.9966,   8.9564
6210089815971933056,  11.7593,  11.5237,  11.5049,  11.7215,  12.1936,  11.7585,  11.5242,  11.5291,  11.5759
1634280312200704768,  13.4944,  13.5924,  13.6634,  13.5654,  13.6042,  13.4943,  13.5901,  13.6751,  13.5583
2161093682102883712,  12.2787,  12.5198,  12.6650,  12.3802,  12.2059,  12.2791,  12.5146,  12.6736,  12.4623
2160839724980689408,  11.7214,  11.9017,  11.9948,  11.8121,  11.7552,  11.7196,  11.8983,  12.0152,  11.8508
5024640977840398848,  11.4752,  11.1704,  11.1709,  11.4181,  12.0196,  11.4741,  11.1697,  11.1625,  11.2431
5444093531284061568,  12.1339,  11.9191,  11.9030,  12.1053,  12.5674,  12.1335,  11.9177,  11.8910,  11.9632
1399559249961569792,  13.4455,  13.1817,  13.1489,  13.4037,  14.0859,  13.4443,  13.1839,  13.1382,  13.2254
1312054926303736704,  12.9711,  12.7116,  12.6668,  12.9334,  13.6184,  12.9692,  12.7119,  12.6823,  12.7566
1633294634388508416,  13.2558,  12.7524,  12.6207,  13.1110,  14.4283,  13.2553,  12.7589,  12.6242,  12.8481
1633376204407124352,  13.9192,  13.2520,  13.0639,  13.6875,  15.4363,  13.9195,  13.2601,  13.0314,  13.3847
2257926365492000768,  13.5653,  12.9842,  12.8025,  13.3817,  15.0233,  13.5669,  12.9913,  12.8301,  13.0923
4201781696994073472,  12.2823,  12.5392,  12.7381,  12.3775,  12.2004,  12.2820,  12.5342,  12.7846,  12.4616
318506871931567616,  12.9258,  12.4295,  12.3038,  12.7802,  13.9353,  12.9247,  12.4347,  12.3045,  12.5316
356922880493142016,  12.4457,  12.9068,  13.1522,  12.6296,  12.3448,  12.4477,  12.8996,  13.2289,  12.8041
4613863502423915008,  10.4356,   9.8301,   9.6310,  10.2328,  11.7818,  10.4375,   9.8366,   9.6171,   9.9530
2941993086693170176,  12.0603,  12.6119,  12.8407,  12.1710,  11.6600,  12.0603,  12.5998,  12.9130,  12.4582
943770757800160384,  12.0432,  12.5880,  12.8983,  12.1969,  11.7412,  12.0455,  12.5789,  12.9686,  12.4529
990352495624317568,  11.9514,  12.2430,  12.3107,  12.0485,  11.7906,  11.9513,  12.2386,  12.3362,  12.1660
5757389920689415040,  11.8846,  11.5673,  11.5006,  11.8135,  12.4703,  11.8840,  11.5700,  11.5035,  11.6336
3853478472249151616,  12.4291,  12.0809,  12.0153,  12.3459,  13.0522,  12.4277,  12.0826,  12.0290,  12.1536
1052266579499163392,  12.8058,  12.4337,  12.3588,  12.7131,  13.4684,  12.8056,  12.4374,  12.3616,  12.5099
3788194488314248832,  13.0430,  13.5314,  13.8004,  13.2202,  12.8826,  13.0447,  13.5216,  13.8797,  13.4185
3817965105665685504,  11.3262,  10.9047,  10.8057,  11.2102,  12.0966,  11.3254,  10.9092,  10.7945,  10.9925
4019458647338779648,  12.4609,  13.0195,  13.3082,  12.6302,  12.2062,  12.4635,  13.0116,  13.3712,  12.8823
3520997013687539712,  10.0475,   9.3684,   9.1656,   9.8076,  11.5223,  10.0473,   9.3739,   9.1472,   9.5079
3685507214745543040,  12.7867,  12.3491,  12.2429,  12.6614,  13.5731,  12.7860,  12.3529,  12.2290,  12.4378
6335641365117256192,  11.9771,  11.6101,  11.5419,  11.8906,  12.6513,  11.9737,  11.6117,  11.5553,  11.6892
1639946061258413312,  12.7107,  12.3900,  12.3470,  12.6393,  13.2696,  12.7084,  12.3914,  12.3550,  12.4557
4412702764879270656,  10.7647,  10.4492,  10.3968,  10.6964,  11.3407,  10.7643,  10.4494,  10.3915,  10.5152
4328293291578459392,  13.4143,  14.0247,  14.2578,  13.5328,  12.9762,  13.4163,  14.0146,  14.2491,  13.8652
1406378695954996352,  11.2747,  10.9003,  10.8183,  11.1807,  11.9761,  11.2732,  10.9033,  10.8071,  10.9753
4569481097095820032,   8.8963,   8.5314,   8.4374,   8.7997,   9.5086,   8.8947,   8.5346,   8.4369,   8.6088
4319908862597055232,  12.9520,  13.4532,  13.7136,  13.1443,  12.8261,  12.9528,  13.4462,  13.7795,  13.3438
4296558843393685632,  10.6944,  10.2742,  10.1604,  10.5805,  11.4817,  10.6918,  10.2767,  10.1700,  10.3614
1831553382794173824,  11.5072,  12.0561,  12.3252,  11.6632,  11.2161,  11.5089,  12.0481,  12.4004,  11.9222
4228176122142169600,  10.5331,  10.2676,  10.2229,  10.4892,  11.1435,  10.5323,  10.2685,  10.2038,  10.3213
1871118140493076224,  12.9660,  13.4466,  13.6985,  13.1680,  12.9014,  12.9651,  13.4406,  13.7629,  13.3441
2011130908940738304,  12.6624,  12.2471,  12.1661,  12.5554,  13.4532,  12.6613,  12.2504,  12.1566,  12.3330
4994877094997259264,  12.9061,  13.0257,  13.1871,  13.0023,  13.0395,  12.9053,  13.0178,  13.2167,  12.9970
2874319284171715968,  13.8066,  14.4305,  14.6997,  13.9073,  13.3227,  13.8097,  14.4218,  14.7871,  14.2515
2323394345824851584,  13.7709,  13.4563,  13.3978,  13.7101,  14.4918,  13.7690,  13.4566,  13.3895,  13.5228
458558784733311232,  13.6333,  14.1791,  14.4662,  13.7849,  13.3416,  13.6356,  14.1711,  14.5441,  14.0410
446003598888454400,  13.7442,  13.1645,  12.9876,  13.5457,  14.7321,  13.7431,  13.1686,  12.9389,  13.2857
268550015665098880,  13.1984,  12.8249,  12.7356,  13.1023,  13.8674,  13.1974,  12.8285,  12.7348,  12.9012
987911506794398976,  12.9536,  12.6487,  12.5839,  12.8858,  13.4897,  12.9518,  12.6506,  12.5800,  12.7118
5242316444456199808,  13.4931,  13.9638,  14.1642,  13.6652,  13.3690,  13.4947,  13.9530,  14.2784,  13.8464
861050512312844672,  13.7926,  14.3171,  14.5683,  13.9588,  13.5745,  13.7953,  14.3093,  14.6463,  14.1885
